Run #; WL red (nm);Laser power red (mW);pow dev;Laser power green (mW);Ion current (pA);std dev;Signal;Total;Background;Note;;;
1;643,4502;3,6;0,073;0,12;18,4324;1,61;124;161;37;60 s measurements;;;
2;643,4523;3,24;0,265;0,1;18,4521;1,62;93;133;40;;;;
3;643,4545;3,47;0,253;0,12;18,5904;1,56;90;130;40;;;;
4;643,4563;3,32;0,204;0,12;18,26;1,91;65;114;49;;;;
5;643,4572;3,48;0,266;0,12;18,2738;2,12;46;82;36;;;;
6;643,4578;3,51;0,142;0,11;18,6874;1,69;43;82;39;;;;
7;643,4592;3,54;0,266;0,12;18,962;2,09;17;57;40;;;;
8;643,4601;3,56;0,241;0,12;18,5958;1,88;26;66;40;;;;
9;643,4619;3,55;0,151;0,12;18,8147;1,93;21;65;44;;;;
10;643,4644;3,3;0,343;0,13;18,9753;1,68;15;53;38;;;;
11;643,4674;3,24;0,295;0,13;18,6469;1,86;7;61;54;;;;
12;643,4701;3,43;0,11;0,12;18,2937;1,49;4;41;37;;;;
13;643.4755;3,23;0,247;0,12;18,1087;1,54;3;39;36;;;;
14;643.4807;3,64;0,363;0,13;17,9259;1,37;10;40;30;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
